Family;Type;Name;Unique-ID;Template;L (m);Anglevert (°);Angleazi (°);Angleaxis (°);Dx (m);Dy (m);Dz (m);Do (mm);t (mm);Param1;Param2;From-ID;From-Node;To-ID;To-Node;Dwg;Notes
Filename =;Debug.scad;;;;;;;;;;;;;;;;;;;;
;(Link);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Main settings:;;;"";;;;;;;;;;;;;;;;;;
Program Path:;;;C:\ProgramLocal\XlsPipePlot\XlsPipePlot.exe;;;;;;;;;;;;;;;;;;
Main components folder:;;;C:\ProgramLocal\XlsPipePlot\Components\;;;;;;;;;;;;;;;;;;
Local components folder:;;;Components\;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Model settings:;;;;;;;;;;;;;;;;;;;;;
Reference volumes (one for each system);;;;;;;;;;;;;;;;;;;;;
Word;Unique-ID;Node;X0 (m);Y0 (m);Z0 (m);;;;;;;;;;;;;;;;
Refvol;TANK_25;1;0;0;50;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
;;;;;;;;;;;;;;;;;;;;;
Conditional formatting below this line;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Flowpath;From VCT to common suction header 8";;;;;;;;;;;;;;;;;;;;
Volume;Tank;T1;TANK_25;;2;-90;0;0;0;0;0;1200;2.02;;;-;;-;;;-
;;;;;;;;;;;;;;;;;;;;;
Component;Connection;Conn;COMP_27;;0;0;0;0;0;0;0;97.93;2.02;;;TANK_25;B;PIPE_29;A;;
;;;;;;;;;;;;;;;;;;;;;
Pipe;Pipe;Pipe;PIPE_29;;0.5;-90;0;0;0;0;0;114.3;3.05;1.5;;;;;;;Tee on Node 2
Pipe;Pipe;Pipe;PIPE_30;;1.972;0;300.46554491946;0;0;0;0;114.3;3.05;1.5;;;;;;;-
