Family;Type;Name;Unique-ID;Template;L (m);Anglevert (°);Angleazi (°);Angleaxis (°);Dx (m);Dy (m);Dz (m);Do (mm);t (mm);Param1;Param2;From-ID;From-Node;To-ID;To-Node;Dwg;Notes
Filename =;Debug.scad;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;(Link);;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Main settings:;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Program Path:;;;C:\Danne\Kodning\XlsPipePlot_2sep\bin\XlsPipePlot.exe;;0;;;;0;0;0;0;0;;;;0;;0;;
Main components folder:;;;C:\Danne\Kodning\XlsPipePlot_2sep\bin\stdlib\;;(static);;;;0;0;0;0;0;;;;0;;0;;
Local components folder:;;;\loclib;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Model settings:;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Reference volumes (one for each system);;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Word;Unique-ID;Node;X0 (m);Y0 (m);Z0 (m);;;;0;0;0;0;0;;;;0;;0;;
Refvol;VOL_33;A;0;0;107.24;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Loop checks. Check coordinates (leave coordinate(s) to ignore blank);;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Word;Unique-ID;Node;X0 (m);Y0 (m);Z0 (m);;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Conditional formatting below this line (Restore by first selecting the range you want to reset and then using the macro "ResetFormat");;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Section;From Tank 1 to Tank 2;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Volume;Tank;T1;VOL_33;;1.5;-90;0;0;0;0;0;1;0.007;0.8;;-;0;-;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Connection;Conn;JUNC_35;;0;0;0;0;0;0;0;0.09793;0.00202;;;VOL_33;B;PIPE_37;A;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_37;;0.5;-90;0;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_38;;1.5;0;0;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_39;;0.6;-90;0;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_40;;1;0;270;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Junction;Valve;V1;JUNC_42;;0.2;0;270;0;0;0;0;0.1;0.00305;;;PIPE_40;B;PIPE_44;A;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_44;;1;0;270;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_45;;0.4;-90;0;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
Pipe;Pipe;Pipe;PIPE_46;;2;0;0;0;0;0;0;0.1;0.00305;1.5;;;0;;0;;
;;;;;0;;;;0;0;0;0;0;;;;0;;0;;
